id;domein;nodetype;icon;url
_Administratie;Administratie;category;;
CIZ;Administratie;party;;http://www.ciz.nl
Gemeente;Administratie;party;;
Zorgverzekeraar;Administratie;party;;
Zorgkantoor;Administratie;party;;
