id;domein;nodetype;lijn;belang;url
_Zorgaanbieders;Zorgaanbieders;category;;;
Huisarts;Zorgaanbieders;actor;1;8;
Ziekenhuis;Zorgaanbieders;actor;2;8;
Apotheek;Zorgaanbieders;actor;1;6;
Paramedici;Zorgaanbieders;actor;1;6;
VVT;Zorgaanbieders;actor;3;6;
Ziekenhuis2;Zorgaanbieders;actor;2;8;
Laboratorium;Zorgaanbieders;actor;2;6;
GGZ;Zorgaanbieders;actor;3;6;
Huisartsenpost;Zorgaanbieders;actor;;;
