id;domein;nodetype;icon;url
_Platformen;Platformen;category;;
Sananet;Platformen;platform;;
Luscii;Platformen;platform;;
KIS;Platformen;platform;;https://www.ketenzorgfriesland.nl/portal-kz-zorgverlener-pagina/kis
Zorgplatform;Platformen;platform;;
Covid-19 Portaal;Platformen;platform;;
Minddistrict;Platformen;platform;;
