id;domain;nodetype;icon;url
_Leveranciers;Leveranciers;category;;
Hinq;Leveranciers;party;;
EPIC;Leveranciers;party;;
Chipsoft;Leveranciers;party;;
Enovation;Leveranciers;party;;
Ivido;Leveranciers;party;;http://www.ivido.nl
