id;domein;nodetype;lijn;belang;url
_platform;;;;;
p-Zorgmail;Platform;;;5;http://www.zorgmail.nl
p-Zorgdomein;Platform;;;5;http://www.zorgdomein.com
p-Point;Platform;;;5;http://verzorgdeoverdracht.nl
p-Vitalhealth;Platform;;;5;
p-Sananet;Platform;;;5;
p-Luscii;Platform;;;5;
p-LSP;Platform;;;5;
p-PGO;Platform;;;5;
p-Zorgplatform;Platform;;;5;
p-Covid-19 Portaal;Platform;;;5;
p-Minddistrict;Platform;;;5;
Platform;Platform;abstract;;;
